Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Nt4Ab2YdiLA,Wind Tunnel Data Analysis and Testing Considerations,"Feb 2, 2021",4704,595.3047,30,31.774,109769,1.84
nZ6LcTjtCbs,Monitor Won’t Turn On – Solved!,"Jan 15, 2024",4642,118.5822,6,17.194,22271,1.05
YjvinBJUzIo,The DeWALT DCMW220X2C 20” Battery Powered Lawn Mower,"Mar 14, 2022",4619,322.1481,4,38.177,76754,2.74
nA9sshveO7M,Kona Process 134,"Apr 4, 2022",4562,333.5854,5,20.324,74241,4.09
t98ILS2YdrU,Nonhomogeneous Linear Ordinary Differential Equations,"Sep 28, 2020",4527,428.2885,24,18.289,82562,2.4
J8il5eB_VS8,"Finding Roots of a Polynomial Using Matlab, Mathematica, and a TI-83","Sep 18, 2019",4427,178.8368,20,16.877,72869,1.8
Xaju4l9KTE0,Gaussian/Normal Distributions,"Nov 26, 2019",4367,475.2767,45,33.775,65726,1.86
2wCVDliYrgg,Wheel Makes Clicking Sound Fixed: True Your Brake Rotor,"Jan 9, 2023",4305,107.6122,0,17.172,31688,1.47
3Kox-3APznI,Homogeneous Linear Ordinary Differential Equations,"Sep 21, 2020",4285,524.0466,35,16.957,76497,2.29
NTV9anV-TxY,Getting Started with Fusion 360,"Dec 21, 2019",4267,442.2182,46,18.647,86434,1.78
G2gxvRjQHxc,Numerically Calculating Partial Derivatives,"May 21, 2020",4250,446.6589,29,29.861,51711,2.12
XMkLNHUmTQM,Similarity Transformation of a Linear Dynamic System,"Dec 27, 2021",4097,239.2942,16,11.872,122151,1.74
hg-Xfn92KNE,GPS Denied Navigation for Unmanned Aerial Systems Using Aviation Transponders,"Aug 9, 2018",3934,137.0952,38,6.274,38892,3.91
e_guF0dwwA4,Introduction to the Matrix Exponential,"Aug 29, 2022",3922,274.9641,32,10.69,84357,2.42
Sg64qVsOJYU,"Arduino Data Logging System with GPS, Temperature Sensors, and a MicroSD Card","Jul 4, 2022",3889,194.8508,31,13.948,71173,2.11
PqaoKr1IlTg,Eigenvalues and Eigenvectors,"Aug 22, 2022",3846,313.7203,22,22.535,60855,2.09
MpWa1yUrg9o,Constrained Optimization: Linear Programs,"Nov 8, 2021",3834,421.1276,23,14.211,115867,1.8
aP5E3TH7DW0,"Insta360 ONE X Unboxing, Setup, and Getting Started","May 15, 2019",3810,541.8955,31,35.831,70892,2.25
HvamtJUSJjU,AT&T Sent Me a Free iPhone,"Nov 29, 2021",3797,92.2774,7,24.961,57238,4.71
mLa5SFW2mrI,Visualizing the State of a Simulink Aircraft Model Using FlightGear:  Installing Additional Aircraft,"Jul 19, 2021",3605,121.8582,10,6.334,93168,1.99
i2fmaabIs5w,Introduction to Neural Networks,"May 30, 2023",3592,366.4923,44,22.018,65507,2.5
5FLIqReiO_k,Mt. Pilchuck:  A Horrible Road to a Great Hike,"Nov 9, 2020",3499,240.4497,9,30.182,55502,3.17
7E9y3uAliNs,Numerical Optimization Algorithms:  Step Size Via Line Minimization,"Oct 18, 2021",3447,336.8101,19,11.662,117268,1.45
R8qeOBHKFFA,Comica CVM-WS50 Unboxing and Setup: A Wireless Lavalier Microphone for Smartphones,"Nov 3, 2018",3423,260.9624,10,38.7,48154,3.16
gU2RVo85E1Q,Numerical Optimization Algorithms:  Constant and Diminishing Step Size,"Oct 11, 2021",3150,246.2283,15,10.333,118657,1.37
vcSS79f0nLQ,How To Install and Initialize an Internal Hard Drive,"Oct 25, 2021",3075,120.0039,6,20.79,56880,0.4
FDK0bOmOjZo,"Translating Inputs, Outputs, and Initial Conditions Between Linear and Nonlinear Dynamic Systems","Feb 28, 2022",3052,205.7327,15,7.898,102621,1.37
DsNJk1alsMQ,How to Install Static Pressure Taps on Removable Leading Edges,"Apr 4, 2018",2990,151.2131,8,13.499,28945,2.9
ulkzctTEGps,Replace a Ford Transit Hubcap,"Jan 16, 2023",2860,62.1801,7,16.244,46474,2.3
lMGJFixkj0o,Swivel Mount for Peloton Bike: Save Yourself $1000,"Dec 6, 2021",2808,161.6333,1,47.213,43727,2.48
yvDl80oaLdI,DIY Kitchen Pod and Water System for a Van or RV,"Mar 8, 2021",2777,272.2365,20,19.06,67327,1.97
haJVEtLN6-k,"Scalar  Functions, Vector Functions, and Vector Derivatives","Sep 25, 2023",2774,182.6359,37,9.964,38165,3.15
Hkky3zcRILc,Setting up Git on Windows,"Apr 29, 2018",2733,138.5821,20,6.279,27389,2.89
i2QkjxtXKos,Analytically Solving Systems of Linear Ordinary Differential Equations,"Sep 19, 2022",2702,229.5186,16,8.698,63459,1.73
yf7ywxj7K20,Computing the Matrix Exponential Using the Laplace Method,"Sep 5, 2022",2601,118.2708,8,10.057,60870,2.05
7GXbPYzW5JA,Fourier Series,"Oct 30, 2023",2524,235.953,23,9.212,44134,2.69
i1UbMfC3MQE,Sol Duc Campground and Lake Crescent,"Dec 21, 2020",2519,225.7692,9,17.072,57126,2.92
JW2t4NpFnaQ,The Summit at Snoqualmie Opening Day,"Dec 15, 2021",2509,103.3442,1,16.509,68876,2.61
egnBTwjDnNM,DIY Drawers for a Van or Camper,"Jul 26, 2021",2499,113.4849,2,17.967,60182,1.02
v_jFZ7FrXYc,Switching Van Configurations Between Bed and Passenger Seats,"Jan 17, 2022",2492,98.656,11,16.446,72566,2.03
PmbzzdrJIMU,Embedding vs Linking to Movies in PowerPoint,"Jan 6, 2018",2433,163.9177,33,33.741,19211,2.61
TVcpC4kkqT4,Carry a Mountain Bike on a Motorcycle,"Jul 18, 2022",2383,57.7717,3,10.127,34287,1.04
yfsSDynscEs,Fast Fourier Transform,"Nov 11, 2023",2281,175.9882,15,10.335,45612,2.72
vlCdCAEtRag,Partial Fraction Expansion/Decomposition,"Oct 1, 2019",2257,404.3662,8,15.07,59371,1.58
W30U_rcThLg,Discrete Fourier Transform,"Nov 6, 2023",2226,286.0905,20,13.462,42805,2.5
wZkrU1lPObM,The Inverse Laplace Transform,"Oct 1, 2019",2178,327.8087,5,20.478,62892,1.64
4gArEqo-MV4,Camper Van Utensil Drawer Organization,"Jun 23, 2020",2144,57.5511,4,12.031,58775,1.52
7psrIfzYH_E,Umm...is the ferry supposed to look like that?,"Apr 16, 2023",2131,22.9067,7,0.175,32616,2.47
RK3qdoLOcjI,Setting up Windows Subsystem for Linux,"Apr 28, 2018",2124,96.4155,13,4.19,20804,1.7
bKwfnulkt2U,Replace Microsoft Surface Pen Battery,"Nov 20, 2023",2105,34.261,-1,8.651,19819,1.08
FaZyUOdFTw4,Importing Custom Data Into DashWare: Working With Data Profiles,"Jun 20, 2022",1946,181.0973,13,10.783,46343,1.29
FXoyslOwV3o,Regression Using Numerical Optimization,"May 8, 2023",1945,195.6522,12,5.584,47248,2.08
wNu5bN7OlTo,Make Your Own Battery Cables By Crimping and Soldering Terminals Onto Bare Wire,"Nov 23, 2020",1939,81.0831,6,10.698,57617,0.79
AY7OumkXgxs,Installing a Closet Rod in a Van for Additional Storage,"Dec 20, 2021",1924,62.1113,8,14.651,41483,1.84
fUVrmwyn5rE,Working with Gauges in DashWare,"Jun 13, 2022",1919,160.4544,5,10.133,48971,1.66
g7yudBh517U,Switching Your Internet Service Provider (ISP): Going From DSL To Cable,"Apr 5, 2021",1834,151.5658,2,24.356,58464,1.1
XO8KvIoCNbE,Dimensionless Aerodynamic Coefficients,"Jan 22, 2024",1713,109.5406,29,6.863,34327,2.68
CrkAMiCAp5s,"Translating Between State Space, Transfer Function, and Ordinary Differential Equation Models","Apr 13, 2023",1705,39.5085,19,3.368,53746,1.8
ObJyoRVWVzw,"I Tried to Ride a Motorcycle in the Snow, Here’s What I Learned","Mar 1, 2021",1701,71.6023,6,8.415,42867,1.32
a_j4ULzq5BY,How to Pack a Bike in a Standard Suitcase,"Jul 31, 2023",1677,62.4667,-2,9.441,25298,0.79
CRMpFJ0yowo,An Engineer’s Home Office Makeover,"Jan 2, 2023",1655,71.6349,8,5.723,50542,2.27
_zfQ8Bdnjxw,3D Printed Propane Bottle Holder,"Jun 13, 2020",1652,40.074,2,13.294,56790,1.09
N5R8IZ0R3PI,Introduction to Matrices,"Sep 4, 2023",1628,131.9556,23,11.504,32099,1.7
DnP_F7bQ4Ks,Selectively Replacing Deck Boards,"Sep 26, 2022",1622,48.1407,-1,16.733,32903,0.87
61xh6Y6eScU,Wireless Charging and NFC Payments With a Wallet Style Cell Phone Case,"May 31, 2021",1613,52.6673,0,14.966,44453,1.14
AxgzzJposVo,"Elementary Row Operations, Row Echelon Form, and Reduced Row Echelon Form","Sep 11, 2023",1606,151.0327,16,10.652,29628,1.69
Cwhuqdv4K0Y,DIY Van Rooftop Deck,"Feb 7, 2022",1549,39.7004,11,8.474,63236,1.16
3KR1atmCuAo,Unboxing a Hansgrohe Lacuna Faucet,"Sep 20, 2021",1518,29.4583,-2,12.383,52213,1.41
DAzn8d_A-ic,Linear Transformations and Linear Systems,"Mar 13, 2023",1503,68.0098,4,6.88,40050,1.95
PF_WTo-uLvg,DIY Knife Sharpness Tester,"Feb 19, 2024",1467,82.4271,4,7.514,31529,2.03
GLTenrOMBz8,Replace the Line on a DeWalt String Trimmer,"Jun 10, 2024",1452,43.8171,-1,4.968,12733,1.05
belZC9XGBtM,Computing the Matrix Exponential Using the Modal Method,"Sep 12, 2022",1446,67.9577,4,5.059,49579,1.5
NXjio8N0Gp8,"Basic Probability:  Conditional Probability, Independent Events, and the Law of Total Probability","Nov 14, 2022",1445,120.0947,9,11.048,42920,1.12
p7PSZW9NhLU,Green’s Theorem: Relating Closed Line Integrals to Double Integrals,"Oct 17, 2022",1409,81.8648,8,9.168,46809,1.22
cpcoBOr7poo,Sahara Creek Horse Camp: Free Camping Near Mt. Rainier,"Aug 9, 2021",1395,84.2375,10,12.27,49825,1.35
tYkIt16bggw,Importing Table Data Into Matlab Using ‘readtable’,"Mar 4, 2024",1393,70.1862,7,4.842,24600,2.64
C-yfMjxxsz0,Double Integrals,"Oct 10, 2022",1372,102.2499,11,6.996,63280,0.84
a3_c4c9PYNg,Parameterizing Surfaces and Computing Surface Normal Vectors,"Oct 24, 2022",1329,123.7087,11,7.055,50443,1.39
Zm9mo_n2Z9M,2013 Nissan Leaf: Is a First Generation Electric Car Still Relevant?,"Jul 3, 2023",1313,158.1884,4,10.769,30099,1.09
UkM1h7-URo8,Demolish Concrete Using Only a Sledgehammer,"Jan 1, 2024",1264,24.5076,-3,3.611,25146,1.59
PI1IgbLhRH8,Basic Git Operations and Workflow,"Apr 2, 2018",1228,65.7149,4,6.082,19131,2.52
eIv8muz9Hsk,"Row/Column Space, Linear Independence, and Rank of a Matrix","Sep 18, 2023",1160,116.7504,8,5.553,30938,1.53
xqMdgXEFVaQ,Platypus GravityWorks 4.0L Water Filter System,"Aug 1, 2022",1158,108.001,3,11.002,36728,1.13
QAAoRu_ZkKk,GoPro Time Lapse: Hiking at Lac d'Oo,"May 25, 2017",1149,16.9219,2,4.667,7311,3.78
wIePZCdCmqg,Brooks Ghost 14 Road-Running Shoes,"Feb 20, 2023",1115,31.706,2,5.355,37943,1.64
Vu8hbVsUkCM,Safely Lean Your Skis Against Your Car with DIY Ski Holders,"Feb 21, 2022",1104,21.0243,-4,7.221,57594,0.66
34Xfij-7gcI,Surface Integrals of Scalar and Vector Fields/Functions,"Oct 31, 2022",1100,62.7575,10,4.772,45508,1.23
93ZS6EsF1Cs,Installing an Unvented Range Hood for Cooking in a Van,"Jan 3, 2022",1098,42.9689,-1,7.092,42904,0.91
F53YY3mKJUc,Campark ACT74 Unboxing,"Dec 19, 2018",1094,81.3361,1,6.256,31232,1.46
IWhGk5GSW9g,"Dosewallips Campground, Dose Forks Campground, and Lake Constance","Jul 25, 2022",1087,104.2316,2,9.867,40813,1.54
AOR2u3dwUNM,How to Wash and Dry a Down Jacket,"Jan 8, 2024",1066,29.7126,3,3.839,21367,1.53
PM6QSP_E82I,37 Minutes of Camera Footage from a High-Altitude Balloon,"Feb 13, 2023",1045,30.8295,-1,5.501,31628,1.58
obeu4B8mXuw,Gradient of a Function and the Directional Derivative,"Oct 23, 2023",1043,81.333,10,3.834,37448,1.47
TULEFpfUmEQ,How to Repair the Durable Water Repellent (DWR) Finish on Your Rain Jacket,"Feb 12, 2024",1009,62.2622,5,8.222,20741,1.16
ozYWfauKbFI,Blink 182 for Engineering Nerds,"Jun 27, 2023",980,13.17,4,1.946,29900,2.17
DV3r8-2yxDc,"Gordes, France: a City on the Cliffs","Jul 25, 2023",969,8.0561,0,0.074,32253,1.47
k-mli8-04RQ,Time to Double for a First and Second Order System,"Dec 17, 2023",968,50.6288,3,3.598,32312,1.79
XZt1YLVy6XU,AA516/AE512 Week02,"Apr 1, 2024",959,20.2564,2,2.206,15316,3.63
4njHF4sOvn8,3D Printing Trim Pieces For My Van,"Mar 22, 2021",956,36.636,7,6.481,43063,0.91
NS2FI6vR3BY,The MNIST Database,"Dec 4, 2023",956,40.8928,-1,2.738,23228,1.77
80kqz8pMlUc,Probability Distribution Functions and Cumulative Distribution Functions,"Nov 21, 2022",948,84.6637,6,9.537,39735,1.12
MPcfaNIREN0,Parameterizing Curves,"Oct 2, 2023",946,55.3136,4,3.378,31311,1.75
fJMZkE6UxiI,How to Remove the Brake Cable on an Electric Scooter,"Feb 26, 2024",943,13.297,2,4.24,17775,0.71
SI8WQyDqek4,REI Flash Power Air Fleece Jacket,"Jun 5, 2023",935,40.2495,-1,9.176,29239,1.24
PbhYlsQYb_w,DIY Mud Guard for $1,"Jul 10, 2023",925,21.6778,-3,3.69,25381,0.6
XvhmSJtFrdo,How to Replace a Kitchen Faucet,"Mar 28, 2022",899,33.826,2,3.641,65193,0.42
IkzttoZmoh4,The Argon ONE Case for Raspberry Pi 4,"Jul 13, 2020",878,34.6267,1,2.29,46066,0.75
oAlmZgWuX88,Farming XP in Final Fantasy IV Using an Arduino Nano,"Jun 27, 2022",866,22.7288,1,1.936,36978,1.12
NI70-AWnO4w,Direction Cosine Matrix from North East Down to East North Up,"Apr 4, 2024",857,35.9028,2,3.26,24225,1.77
OfiyY-ctwjQ,Venzo VZ-E02XR-009 Pedals: Look Delta and Shimano SPD Simultaneous Compatibility,"Nov 15, 2021",806,29.8787,0,5.168,41903,0.92
DMQTOfQy6hk,"50k Subscribers, Thank You!","Apr 3, 2023",805,7.5871,5,1.546,28759,1.77
AlTYdT7kF38,Find the Radius of the Circle Inside the Triangle,"Apr 22, 2024",780,37.4491,2,2.054,16676,1.56
SbM_ASHpzqM,The Binomial Distribution,"Nov 28, 2022",744,41.556,1,6.572,37030,0.95
HcvZpiq0X9E,Unboxing a Canon EOS RP Camera and Accessories Bundle,"Jun 14, 2021",723,34.3953,-3,4.073,40198,0.97
bNOWbosTmD8,Eco-friendly gardening using goats,"May 22, 2023",721,5.8011,1,0.055,32784,0.58
FoiuvPkFppg,Arc Length (AKA Length of a Curve),"Oct 16, 2023",709,50.9523,3,1.765,29840,1.02
jd-0thQnddY,Triple Integrals (AKA Volume Integrals),"Nov 7, 2022",679,44.4826,3,4.156,41173,0.93
5ROS2-4ShmI,Obtaining and Using the MatlabLum Repository,"Nov 27, 2023",635,18.5355,-2,1.529,24443,1.73
Llc22x5O3L0,Overnight Bike Tour to Lake Crescent,"Aug 30, 2021",629,29.1681,-2,2.598,48067,0.69
yni03Q91hL0,Washing the Van for the First Time in 3 Years,"Oct 3, 2022",599,12.5959,1,1.893,33989,1.21
BHHnoHx618o,How to Replace a Showerhead,"Jun 19, 2023",584,11.5464,1,2.466,25825,1.45
iaM-jMmAp6c,AA516/AE512 Week03,"Apr 8, 2024",574,10.7269,1,1.166,14099,2.28
WDMTaNsgYVo,AA516/AE512 Week04,"Apr 15, 2024",561,9.3243,3,1.375,16835,1.83
8RG7rdDEo1Y,Using Branches in Git,"Apr 10, 2018",550,57.5423,3,3.416,15660,1.58
 -FQzeD9gsS0,AA516/AE512 Week06,"Apr 29, 2024",548,14.4891,2,1.466,17632,1.8
hv-ufFw0kps,REI Gauntlet GTX Gore-Tex Gloves & Mittens,"Jan 30, 2023",539,18.4459,1,3.827,33602,0.89
js0jPF_h0wM,AA516/AE512 Week05,"Apr 24, 2024",539,13.0938,0,1.461,16935,1.71
HH367um_Aho,Tangent to a Curve,"Oct 9, 2023",535,29.0895,4,1.626,27517,1.04
uztz27o3HKI,Tubeless Tire Conversion: A Complete End-to-End Tutorial,"Aug 8, 2022",534,39.5771,-3,3.101,40195,0.69
2sotoj0opPE,The Ira Spring Memorial Trail and Mason Lake,"May 10, 2021",529,31.8147,1,3.063,38555,0.68
W-ML20X4YI0,Unboxing a MR Direct 2020 Sink,"Mar 15, 2021",509,13.2786,-1,2.372,40804,0.75
aDWz_hbNYzM,AA516/AE512 Week07,"May 8, 2024",497,14.139,2,1.432,19198,1.46
xXfOB5NkjIo,Aerial Footage of Atmospheric Conditions Caused by the 2020 Wildfires in the Pacific Northwest,"Sep 14, 2020",492,11.6637,0,1.847,41307,0.65
Q_P2q4h-yMA,A Day on the Farm: U-Pick Apples at Jones Creek Farm,"Aug 2, 2021",481,8.361,-2,1.583,48830,0.53
Z5sWyYpLbnQ,AA516/AE512 Week10,"May 29, 2024",472,9.0263,-1,1.516,18694,1.49
x6qkmxxMKEw,Commenting Code in Matlab and Simulink (Ways You Can Use ‘%’),"Jun 24, 2024",465,19.8048,2,0.995,12611,1.64
BfQlm6vIMOQ,Fix a Flat Tire Using a Tire Plug Kit,"Dec 5, 2022",456,24.5397,-1,1.717,34870,0.81
WZ3vs3oNzNU,Hillsound FreeStep6 Traction System,"Dec 26, 2022",438,16.1774,-3,1.195,37537,0.83
eF0Zv-GPzH0,Planet Bike Superflash 65R Bike Tail Light,"Dec 11, 2023",404,11.5758,-2,2.013,18413,1.23
JZNORkEnB5c,AA516/AE512 Week09,"May 22, 2024",403,11.4468,3,1.729,16649,1.35
n2bvoNsyhcE,REI Down Time 25 Sleeping Bag,"Jun 3, 2024",401,6.5557,-4,0.768,9548,0.98
bJlryGNGDrw,MathWorks Free Stuff,"May 6, 2024",386,9.8142,1,0.585,13887,1.66
EGmKPpV6bXs,AA516/AE512 Week08,"May 15, 2024",375,8.9808,-4,1.199,15649,1.33
AEfPY_fXot4,GoPro on a Dog at the Polar Bear Swim,"Jan 4, 2018",329,4.7888,2,0.391,11255,1.78
nPvN8heTUkw,"File Infrastructure for Flight Tests (Planning, Archival, and Analysis)","Mar 10, 2018",302,15.1931,1,0.261,14538,0.79
ETvSrFo0dDM,Living Christmas Trees: a Smart Environmental and Economical Choice,"Nov 30, 2020",292,10.8141,-2,2.092,39053,0.37
w4mIw3kSTVU,Fuel Leaking from Motorcycle – Solved!,"Jun 17, 2024",232,5.2442,-1,1.224,9330,1.35
m46opXldvEA,Disassemble the Headset and Top Tube on an Electric Scooter (GoTrax Eclipse),"Jul 1, 2024",169,2.6999,-2,0.614,7775,1.04
hRhgrF5GUGA,Standing and Laughing,,17,0.2969,0,0.001,0,
NICbZ-0ydXA,Trying to Put a Spoon In Her Mouth,,16,0.2536,1,,0,
BHMca5RdLUA,Grabbing Flowers,,11,0.3468,0,,0,
4KZ7v4FJb7M,Learning to Grab Things,,10,0.1641,0,,0,
icFVvEjjHlk,Thanks for my rattle!,,9,0.392,0,,0,
X2c9BJ2ZTSU,Wake Survey Repeatability Study,,5,0.0461,0,,12,0
KaUpB2aCfZ8,Treehouse Consultation Video,,3,0.3566,0,,0,
xpwaJh0xbT8,Crawling Backwards,,3,0.0434,0,,0,
qo2wda7eB8c,Do a barrel roll!,,2,0.0348,0,,0,
XLzxpxwGDFo,Makeshift Toy/Musical Instrument,,1,0.0078,0,,0,
NF71HPAB2W0,Default Arguments in Matlab Functions (varargin and nargin),"Jul 8, 2024",,,,,7,0
