Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
KMLlDWxgiGY,Using STICK to Install CHDK,"Mar 21, 2022",2913,116.4306,6,7.284,72137,2.07
MpWa1yUrg9o,Constrained Optimization: Linear Programs,"Nov 8, 2021",2903,297.5543,20,10.93,98720,1.6
Vc2t2U7S4OU,Getting Started With DashWare,"Jun 6, 2022",2756,192.2506,7,7.752,38261,2.98
XMkLNHUmTQM,Similarity Transformation of a Linear Dynamic System,"Dec 27, 2021",2742,163.8551,10,8.719,90994,1.57
8nSjGkXMTyo,HX1 Arduino APRS Tracker,"Dec 19, 2022",2735,174.2221,27,8.384,47782,2.37
E7JSeQEjvnY,A Comprehensive Guide to Launching a High-Altitude Balloon,"Feb 6, 2023",2667,371.6274,31,19.15,48412,1.7
DsNJk1alsMQ,How to Install Static Pressure Taps on Removable Leading Edges,"Apr 4, 2018",2650,135.5257,6,11.805,27054,2.82
mLa5SFW2mrI,Visualizing the State of a Simulink Aircraft Model Using FlightGear:  Installing Additional Aircraft,"Jul 19, 2021",2634,85.4637,9,4.613,77857,1.81
2QD_piybnbU,Dryer Not Heating Up – Solved!,"Apr 11, 2022",2611,222.825,4,23.368,47668,1.5
yvDl80oaLdI,DIY Kitchen Pod and Water System for a Van or RV,"Mar 8, 2021",2560,253.4664,17,17.319,62340,1.96
Hkky3zcRILc,Setting up Git on Windows,"Apr 29, 2018",2537,129.9909,19,5.997,25765,2.86
7E9y3uAliNs,Numerical Optimization Algorithms:  Step Size Via Line Minimization,"Oct 18, 2021",2531,231.5855,11,9.773,97333,1.24
FDK0bOmOjZo,"Translating Inputs, Outputs, and Initial Conditions Between Linear and Nonlinear Dynamic Systems","Feb 28, 2022",2491,161.4187,13,6.193,88192,1.29
HvamtJUSJjU,AT&T Sent Me a Free iPhone,"Nov 29, 2021",2450,74.3677,2,21.993,46419,3.17
yuT4Mg2NIQs,Introduction to Frequency Domain Analysis,"Apr 10, 2023",2448,222.1449,31,8.027,60500,2.28
JW2t4NpFnaQ,The Summit at Snoqualmie Opening Day,"Dec 15, 2021",2393,99.3868,1,15.786,63531,2.69
gU2RVo85E1Q,Numerical Optimization Algorithms:  Constant and Diminishing Step Size,"Oct 11, 2021",2256,163.1137,10,7.806,97006,1.14
i1UbMfC3MQE,Sol Duc Campground and Lake Crescent,"Dec 21, 2020",2158,193.8751,7,13.758,51466,2.8
v_jFZ7FrXYc,Switching Van Configurations Between Bed and Passenger Seats,"Jan 17, 2022",2133,82.8538,7,13.429,67342,1.92
i2fmaabIs5w,Introduction to Neural Networks,"May 30, 2023",2113,189.7141,23,11.064,42338,2.69
2wCVDliYrgg,Wheel Makes Clicking Sound Fixed: True Your Brake Rotor,"Jan 9, 2023",2110,54.9833,-1,7.597,23271,1.28
Sg64qVsOJYU,"Arduino Data Logging System with GPS, Temperature Sensors, and a MicroSD Card","Jul 4, 2022",2097,103.7444,14,8.071,54702,1.63
lMGJFixkj0o,Swivel Mount for Peloton Bike: Save Yourself $1000,"Dec 6, 2021",2094,120.7252,0,40.574,36393,2.32
e_guF0dwwA4,Introduction to the Matrix Exponential,"Aug 29, 2022",2087,143.7331,19,5.29,61579,1.91
PmbzzdrJIMU,Embedding vs Linking to Movies in PowerPoint,"Jan 6, 2018",1988,134.1968,29,28.923,16464,2.69
egnBTwjDnNM,DIY Drawers for a Van or Camper,"Jul 26, 2021",1984,94.1987,1,14.149,55985,1.01
RK3qdoLOcjI,Setting up Windows Subsystem for Linux,"Apr 28, 2018",1965,88.3094,13,3.442,19712,1.72
V3iveC_fa04,Introduction to Root Locus,"Apr 24, 2023",1945,116.5827,34,4.352,44675,2.36
4gArEqo-MV4,Camper Van Utensil Drawer Organization,"Jun 23, 2020",1935,52.5735,4,10.899,55317,1.51
wZkrU1lPObM,The Inverse Laplace Transform,"Oct 1, 2019",1760,265.6761,5,17.955,56334,1.54
vcSS79f0nLQ,How To Install and Initialize an Internal Hard Drive,"Oct 25, 2021",1751,67.4913,3,12.033,52496,0.39
vlCdCAEtRag,Partial Fraction Expansion/Decomposition,"Oct 1, 2019",1721,321.8334,7,13.687,52484,1.44
l-sxhe69dg8,The Fezibo L-Shaped Triple Motor Standing Desk,"Jun 12, 2023",1661,101.5517,4,15.181,26245,2.75
TVcpC4kkqT4,Carry a Mountain Bike on a Motorcycle,"Jul 18, 2022",1655,38.0877,3,6.682,28747,1.05
wNu5bN7OlTo,Make Your Own Battery Cables By Crimping and Soldering Terminals Onto Bare Wire,"Nov 23, 2020",1616,68.3356,6,8.817,54047,0.78
i2QkjxtXKos,Analytically Solving Systems of Linear Ordinary Differential Equations,"Sep 19, 2022",1600,139.5268,8,4.865,52543,1.5
g7yudBh517U,Switching Your Internet Service Provider (ISP): Going From DSL To Cable,"Apr 5, 2021",1572,130.8942,2,20.3,54422,1.11
7psrIfzYH_E,Umm...is the ferry supposed to look like that?,"Apr 16, 2023",1553,16.8191,7,0.122,14478,2.78
CRMpFJ0yowo,An Engineer’s Home Office Makeover,"Jan 2, 2023",1537,66.0262,7,5.079,42589,2.51
_zfQ8Bdnjxw,3D Printed Propane Bottle Holder,"Jun 13, 2020",1535,37.2726,2,12.57,53317,1.08
yf7ywxj7K20,Computing the Matrix Exponential Using the Laplace Method,"Sep 5, 2022",1511,66.0524,3,5.07,49212,1.7
ObJyoRVWVzw,"I Tried to Ride a Motorcycle in the Snow, Here’s What I Learned","Mar 1, 2021",1505,63.1788,6,7.603,40034,1.38
ulkzctTEGps,Replace a Ford Transit Hubcap,"Jan 16, 2023",1382,29.0798,2,8.082,36729,1.62
AY7OumkXgxs,Installing a Closet Rod in a Van for Additional Storage,"Dec 20, 2021",1364,46.208,3,8.881,35910,1.61
Cwhuqdv4K0Y,DIY Van Rooftop Deck,"Feb 7, 2022",1347,33.8182,8,6.793,58034,1.06
61xh6Y6eScU,Wireless Charging and NFC Payments With a Wallet Style Cell Phone Case,"May 31, 2021",1291,41.5895,-1,10.53,40244,1.07
FXoyslOwV3o,Regression Using Numerical Optimization,"May 8, 2023",1276,110.3749,7,3.712,33708,2.01
3KR1atmCuAo,Unboxing a Hansgrohe Lacuna Faucet,"Sep 20, 2021",1237,24.2023,-2,6.582,45057,1.24
cpcoBOr7poo,Sahara Creek Horse Camp: Free Camping Near Mt. Rainier,"Aug 9, 2021",1206,70.1683,9,10.394,45373,1.3
FaZyUOdFTw4,Importing Custom Data Into DashWare: Working With Data Profiles,"Jun 20, 2022",1185,103.3932,4,7.389,38524,1.02
PI1IgbLhRH8,Basic Git Operations and Workflow,"Apr 2, 2018",1128,61.2079,3,5.765,17636,2.5
QAAoRu_ZkKk,GoPro Time Lapse: Hiking at Lac d'Oo,"May 25, 2017",1109,16.4828,2,4.607,6827,3.76
C-yfMjxxsz0,Double Integrals,"Oct 10, 2022",1102,68.0907,7,5.195,54687,0.82
F53YY3mKJUc,Campark ACT74 Unboxing,"Dec 19, 2018",1081,80.7294,1,6.205,29845,1.5
NXjio8N0Gp8,"Basic Probability:  Conditional Probability, Independent Events, and the Law of Total Probability","Nov 14, 2022",1014,72.1394,8,6.196,35547,1.06
fUVrmwyn5rE,Working with Gauges in DashWare,"Jun 13, 2022",995,73.9325,1,4.638,36669,1.28
DAzn8d_A-ic,Linear Transformations and Linear Systems,"Mar 13, 2023",993,37.5521,0,4.817,29373,1.77
CrkAMiCAp5s,"Translating Between State Space, Transfer Function, and Ordinary Differential Equation Models","Apr 13, 2023",951,22.1732,14,1.735,26870,1.85
93ZS6EsF1Cs,Installing an Unvented Range Hood for Cooking in a Van,"Jan 3, 2022",882,35.0695,-1,5.827,38028,0.89
p7PSZW9NhLU,Green’s Theorem: Relating Closed Line Integrals to Double Integrals,"Oct 17, 2022",860,41.5121,5,5.359,38248,1.14
IkzttoZmoh4,The Argon ONE Case for Raspberry Pi 4,"Jul 13, 2020",858,34.1325,1,2.251,43455,0.78
belZC9XGBtM,Computing the Matrix Exponential Using the Modal Method,"Sep 12, 2022",855,36.4948,2,3.139,38940,1.24
ozYWfauKbFI,Blink 182 for Engineering Nerds,"Jun 27, 2023",829,10.5861,2,1.649,19080,2.8
Vu8hbVsUkCM,Safely Lean Your Skis Against Your Car with DIY Ski Holders,"Feb 21, 2022",827,14.754,-4,4.598,51181,0.6
4njHF4sOvn8,3D Printing Trim Pieces For My Van,"Mar 22, 2021",811,31.8639,5,5.764,39148,0.9
a3_c4c9PYNg,Parameterizing Surfaces and Computing Surface Normal Vectors,"Oct 24, 2022",765,56.2095,1,3.659,39460,1.22
DMQTOfQy6hk,"50k Subscribers, Thank You!","Apr 3, 2023",760,7.0819,3,1.415,20294,2.35
XvhmSJtFrdo,How to Replace a Kitchen Faucet,"Mar 28, 2022",756,27.0398,2,2.488,60429,0.43
PM6QSP_E82I,37 Minutes of Camera Footage from a High-Altitude Balloon,"Feb 13, 2023",724,19.9948,-3,4.293,21826,1.64
wIePZCdCmqg,Brooks Ghost 14 Road-Running Shoes,"Feb 20, 2023",709,19.4638,1,3.833,26382,1.29
oAlmZgWuX88,Farming XP in Final Fantasy IV Using an Arduino Nano,"Jun 27, 2022",693,18.9808,0,1.411,30712,1.14
OfiyY-ctwjQ,Venzo VZ-E02XR-009 Pedals: Look Delta and Shimano SPD Simultaneous Compatibility,"Nov 15, 2021",688,24.7643,-1,4.449,37634,0.9
IWhGk5GSW9g,"Dosewallips Campground, Dose Forks Campground, and Lake Constance","Jul 25, 2022",679,61.0521,2,5.596,33317,1.15
xqMdgXEFVaQ,Platypus GravityWorks 4.0L Water Filter System,"Aug 1, 2022",678,57.9253,3,5.074,29506,1
HcvZpiq0X9E,Unboxing a Canon EOS RP Camera and Accessories Bundle,"Jun 14, 2021",633,31.1667,-3,3.84,36414,0.9
Llc22x5O3L0,Overnight Bike Tour to Lake Crescent,"Aug 30, 2021",607,28.1272,-3,2.493,44734,0.7
80kqz8pMlUc,Probability Distribution Functions and Cumulative Distribution Functions,"Nov 21, 2022",605,43.406,6,5.77,32281,1.03
34Xfij-7gcI,Surface Integrals of Scalar and Vector Fields/Functions,"Oct 31, 2022",588,26.2368,5,2.647,35532,0.94
a_j4ULzq5BY,How to Pack a Bike in a Standard Suitcase,"Jul 31, 2023",586,12.6545,-2,0.618,12223,1.06
SbM_ASHpzqM,The Binomial Distribution,"Nov 28, 2022",518,23.9817,1,3.694,30249,0.89
yni03Q91hL0,Washing the Van for the First Time in 3 Years,"Oct 3, 2022",516,10.5181,1,1.597,27706,1.27
bNOWbosTmD8,Eco-friendly gardening using goats,"May 22, 2023",507,3.9538,0,0.034,10830,0.88
8RG7rdDEo1Y,Using Branches in Git,"Apr 10, 2018",502,52.9947,2,3.159,14585,1.56
W-ML20X4YI0,Unboxing a MR Direct 2020 Sink,"Mar 15, 2021",484,12.7907,-1,2.33,37323,0.77
xXfOB5NkjIo,Aerial Footage of Atmospheric Conditions Caused by the 2020 Wildfires in the Pacific Northwest,"Sep 14, 2020",470,11.37,0,1.83,38616,0.66
1BfhVSW8UPM,Dryer Drum Not Turning – Solved!,"May 15, 2023",464,16.9661,3,2.424,17494,1.15
Q_P2q4h-yMA,A Day on the Farm: U-Pick Apples at Jones Creek Farm,"Aug 2, 2021",464,8.0521,-2,1.498,45559,0.55
uztz27o3HKI,Tubeless Tire Conversion: A Complete End-to-End Tutorial,"Aug 8, 2022",463,33.9305,-4,2.606,34743,0.75
jd-0thQnddY,Triple Integrals (AKA Volume Integrals),"Nov 7, 2022",455,21.9372,0,2.257,32318,0.94
2sotoj0opPE,The Ira Spring Memorial Trail and Mason Lake,"May 10, 2021",453,25.1409,1,2.457,35043,0.63
DV3r8-2yxDc,"Gordes, France: a City on the Cliffs","Jul 25, 2023",407,3.3359,0,0.022,6630,1.67
BfQlm6vIMOQ,Fix a Flat Tire Using a Tire Plug Kit,"Dec 5, 2022",392,20.2435,-1,1.493,28261,0.9
pZv3oTVQPf4,Dishwasher Detergent Door Opens But Detergent Is Still There – Solved!,"Aug 7, 2023",391,11.0922,-2,2.074,10958,1.61
SI8WQyDqek4,REI Flash Power Air Fleece Jacket,"Jun 5, 2023",386,13.1825,-3,1.689,16467,1.2
WZ3vs3oNzNU,Hillsound FreeStep6 Traction System,"Dec 26, 2022",362,10.8141,-3,0.95,29984,0.87
DnP_F7bQ4Ks,Selectively Replacing Deck Boards,"Sep 26, 2022",347,7.2491,-1,2.748,26543,0.87
N5R8IZ0R3PI,Introduction to Matrices,"Sep 4, 2023",326,19.7422,1,1.049,8790,2.12
Zm9mo_n2Z9M,2013 Nissan Leaf: Is a First Generation Electric Car Still Relevant?,"Jul 3, 2023",318,26.0331,0,1.247,16649,0.79
AEfPY_fXot4,GoPro on a Dog at the Polar Bear Swim,"Jan 4, 2018",309,4.5645,2,0.363,10162,1.81
ETvSrFo0dDM,Living Christmas Trees: a Smart Environmental and Economical Choice,"Nov 30, 2020",289,10.8013,-2,2.075,36696,0.39
nPvN8heTUkw,"File Infrastructure for Flight Tests (Planning, Archival, and Analysis)","Mar 10, 2018",287,14.3744,1,0.228,13434,0.8
BHHnoHx618o,How to Replace a Showerhead,"Jun 19, 2023",250,3.8899,-1,0.743,13999,1.19
PbhYlsQYb_w,DIY Mud Guard for $1,"Jul 10, 2023",233,4.0994,-4,0.612,13548,0.86
hv-ufFw0kps,REI Gauntlet GTX Gore-Tex Gloves & Mittens,"Jan 30, 2023",216,4.964,1,0.507,24804,0.54
hRhgrF5GUGA,Standing and Laughing,,17,0.2969,0,0.001,0,
NICbZ-0ydXA,Trying to Put a Spoon In Her Mouth,,16,0.2536,1,0,0,
BHMca5RdLUA,Grabbing Flowers,,11,0.3468,0,0,0,
4KZ7v4FJb7M,Learning to Grab Things,,10,0.1641,0,0,0,
icFVvEjjHlk,Thanks for my rattle!,,9,0.392,0,0,0,
X2c9BJ2ZTSU,Wake Survey Repeatability Study,,5,0.0461,0,0,12,0
KaUpB2aCfZ8,Treehouse Consultation Video,,3,0.3566,0,0,0,
xpwaJh0xbT8,Crawling Backwards,,3,0.0434,0,0,0,
qo2wda7eB8c,Do a barrel roll!,,2,0.0348,0,0,0,
XLzxpxwGDFo,Makeshift Toy/Musical Instrument,,1,0.0078,0,0,0,
